Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I have already exited from a mid-tier or local accounting firm,Yes,2.0,100000.0,2.0,Medical,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,2.0,69000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,2.0,67000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,2.0,60000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,65500.0,,Public Accounting,High,Male,Audit,60.0
I am currently working at a mid-tier or local accounting firm,No,2.0,47000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,75900.0,,Public Accounting,High,Male,Audit,60.0
I am currently working at a Big 4 accounting firm,Yes,2.0,63000.0,,Public Accounting,Medium,Male,Advisory,46.0
I am still in school,No,2.0,56000.0,,Public Accounting,Medium,Male,Advisory,20.0
I have never worked at a public accounting firm,No,2.0,38000.0,,Construction,Medium,Female,Corporate,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,67400.0,,Public Accounting,High,Male,Audit,55.0
I am currently working at a Big 4 accounting firm,Yes,2.0,60000.0,,Public Accounting,High,Male,Audit,55.0
I am currently working at a Big 4 accounting firm,No,2.0,62000.0,,Public Accounting,Medium,Male,Tax,48.0
I have never worked at a public accounting firm,No,2.0,8400.0,,Technology,High,Female,Corporate,60.0
I am currently working at a Big 4 accounting firm,Yes,2.0,55000.0,,Public Accounting,Low,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,Yes,2.0,58300.0,,Public Accounting,Low,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,2.0,63500.0,,Public Accounting,Medium,Female,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,78000.0,,Public Accounting,High,Female,Tax,55.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,2.0,72000.0,,Public Accounting,High,Undisclosed,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,56000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,No,2.0,73000.0,,Public Accounting,High,Female,Tax,60.0
I am currently working at a Big 4 accounting firm,Yes,2.0,64500.0,,Public Accounting,High,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,No,2.0,57200.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,Finishing Exp Req,2.0,58000.0,,Government,High,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,57000.0,,Public Accounting,Low,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,60000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,2.0,70000.0,,Public Accounting,High,Male,Tax,55.0
I have never worked at a public accounting firm,No,2.0,56000.0,,Technology,Medium,Female,Finance,50.0
I have already exited from a Big 4 Accounting firm,Yes,2.0,93000.0,2.0,Other,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,70000.0,,Public Accounting,High,Male,Advisory,65.0
I am currently working at a mid-tier or local accounting firm,No,2.0,65000.0,,Public Accounting,Medium,Female,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,59400.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,70000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,2.0,59000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,70600.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,71000.0,,Public Accounting,High,Male,Advisory,42.0
I am currently working at a mid-tier or local accounting firm,No,2.0,55130.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,62000.0,,Public Accounting,Medium,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,2.0,83000.0,1.0,Finance,Medium,Male,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,No,2.0,65000.0,,Public Accounting,Medium,Male,Tax,45.0
I have never worked at a public accounting firm,No,2.0,39000.0,,Finance,Low,Male,Other,40.0
I have already exited from a Big 4 Accounting firm,Yes,2.0,80000.0,2.0,Technology,High,Male,Audit,
I have never worked at a public accounting firm,No,2.0,45000.0,,Hospitality,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,No,2.0,45000.0,,Hospitality,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,No,2.0,69000.0,,Manufacturing,Medium,Male,Other,38.0
I am currently working at a Big 4 accounting firm,Yes,2.0,58300.0,,Public Accounting,Low,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Finishing Exp Req,2.0,74000.0,1.0,Finance,High,Male,Audit,48.0
I am currently working at a mid-tier or local accounting firm,No,2.0,62000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,Yes,2.0,58000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,2.0,60000.0,,Public Accounting,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,58000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,64500.0,,Public Accounting,High,Male,Audit,65.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,60900.0,,Public Accounting,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,2.0,60000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,57000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,75000.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,75000.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,No,2.0,68000.0,,Public Accounting,High,Male,Tax,70.0
I have already exited from a mid-tier or local accounting firm,No,2.0,55000.0,0.4,Other,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,57000.0,,Public Accounting,Low,Female,Tax and Audit,40.0
I have never worked at a public accounting firm,No,2.0,60000.0,,Other,High,Female,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,50800.0,,Public Accounting,Low,Male,Audit,
I have never worked at a public accounting firm,No,2.5,42000.0,,Other,Medium,Female,Other,
I have already exited from a Big 4 Accounting firm,Yes,2.5,74500.0,2.0,Aerospace,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,Yes,2.5,73500.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,Finishing Exp Req,2.5,55000.0,,Technology,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,2.5,65000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.5,74000.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.5,65000.0,,Public Accounting,High,Female,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,2.5,63000.0,,Public Accounting,High,Male,Audit,50.0
I have already exited from a Big 4 Accounting firm,Yes,2.0,53000.0,2.0,Other,Medium,Female,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,70000.0,,Public Accounting,Medium,Male,Tax and Audit,37.5
I am currently working at a mid-tier or local accounting firm,No,2.5,61000.0,,Public Accounting,Medium,Female,Tax,50.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,70000.0,,Public Accounting,Low,Male,Tax,45.0
I have already exited from a mid-tier or local accounting firm,No,3.0,100000.0,3.0,Finance,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,80000.0,,Public Accounting,High,Male,Audit,46.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,59000.0,,Public Accounting,High,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,Yes,2.5,60000.0,,Public Accounting,Low,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Yes,2.6,70000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,46000.0,,Public Accounting,Low,Male,Audit,
I have already exited from a Big 4 Accounting firm,Finishing Exp Req,2.0,82000.0,0.25,Hospitality,High,Female,Audit,35.0
I am currently working at a Big 4 accounting firm,Yes,3.0,66600.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,64000.0,,Public Accounting,High,Male,Tax and Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,68000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,68000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,80000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,72000.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,No,3.0,75000.0,,Other,High,Male,Other,
I have never worked at a public accounting firm,No,3.0,72000.0,,Medical,Medium,Female,Corporate,
I have already exited from a Big 4 Accounting firm,Yes,3.0,105000.0,3.0,Finance,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,60000.0,,Public Accounting,Low,Male,Audit,
I have already exited from a mid-tier or local accounting firm,No,3.0,120000.0,2.5,Other,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,58275.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,3.0,65000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,72000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,3.0,45000.0,,Technology,Medium,Male,Other,
I have never worked at a public accounting firm,No,3.0,65000.0,,Construction,Low,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,3.0,85000.0,2.5,Medical,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,3.0,79000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,78000.0,,Public Accounting,High,Undisclosed,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,63000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,65000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,93450.0,,Public Accounting,Medium,Male,Advisory,
I have never worked at a public accounting firm,Yes,3.0,90000.0,,Other,High,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,3.0,90000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,70500.0,,Public Accounting,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,2.5,90000.0,2.0,Finance,High,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,64500.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,65000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,60000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,72000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,68000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,73500.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,No,3.0,60000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,87000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,73000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,73000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,49500.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,53000.0,,Public Accounting,Low,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,3.0,74000.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,No,3.0,160000.0,,Finance,High,Male,Other,
I have already exited from a mid-tier or local accounting firm,Yes,3.0,85000.0,2.0,Technology,High,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,3.0,96000.0,3.0,Other,High,Male,Advisory,
I have never worked at a public accounting firm,No,3.0,50000.0,,Manufacturing,Medium,Male,Other,
I have already exited from a mid-tier or local accounting firm,No,3.0,83750.0,1.5,Manufacturing,Low,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,58000.0,,Public Accounting,Medium,Female,Other,
I have already exited from a mid-tier or local accounting firm,Yes,3.0,84000.0,2.5,Other,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,62300.0,,Public Accounting,Low,Male,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,3.0,92400.0,2.5,Energy,Low,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,3.0,74000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Finishing Exp Req,3.0,55127.0,0.5,Government,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,48500.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,90000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,3.0,73000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,74000.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,Yes,3.0,70000.0,,Government,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,75000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,63000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,Yes,3.0,73000.0,,Public Accounting,Medium,Male,Tax,50.0
I have never worked at a public accounting firm,No,3.0,85000.0,,Medical,High,Female,Other,35.0
I am currently working at a Big 4 accounting firm,Yes,3.0,69750.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,95000.0,,Public Accounting,High,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,95000.0,,Public Accounting,High,Female,Audit,45.0
I have already exited from a Big 4 Accounting firm,No,2.5,110000.0,0.0,Technology,High,Male,Audit,40.0
I have never worked at a public accounting firm,No,3.0,64000.0,,Medical,High,Female,Other,60.0
I am currently working at a mid-tier or local accounting firm,No,3.0,55000.0,,Public Accounting,Medium,Female,Tax,50.0
I have never worked at a public accounting firm,Yes,3.0,110000.0,,Finance,Medium,Female,Audit,45.0
I have never worked at a public accounting firm,No,3.0,60000.0,,Other,Medium,Male,Other,40.0
I have already exited from a Big 4 Accounting firm,No,3.0,100000.0,3.0,Finance,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,3.0,90000.0,,Public Accounting,High,Undisclosed,Tax and Audit,37.5
I am currently working at a Big 4 accounting firm,No,3.0,94000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,95000.0,,Public Accounting,High,Female,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,76000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,66500.0,,Public Accounting,Medium,Male,Audit,50.0
I have never worked at a public accounting firm,No,3.0,74000.0,,Manufacturing,Medium,Female,Other,40.0
I am currently working at a Big 4 accounting firm,No,3.0,73000.0,,Public Accounting,High,Female,Audit,50.0
I have never worked at a public accounting firm,No,3.0,75000.0,,Medical,Medium,Male,Other,60.0
I am currently working at a mid-tier or local accounting firm,No,3.0,60000.0,,Public Accounting,High,Female,Tax,60.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,80000.0,,Public Accounting,Medium,Male,Advisory,45.0
I have already exited from a Big 4 Accounting firm,No,3.0,72000.0,1.0,Medical,Medium,Female,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,3.0,80000.0,3.0,Energy,Low,Male,Audit,40.0
I have never worked at a public accounting firm,No,3.0,125000.0,,Finance,High,Female,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,63000.0,,Public Accounting,High,Female,Tax,50.0
I am currently working at a Big 4 accounting firm,Yes,3.0,67000.0,,Public Accounting,High,Male,Audit,46.0
I am currently working at a Big 4 accounting firm,Yes,3.0,65000.0,,Public Accounting,High,Female,Audit,55.0
I am currently working at a Big 4 accounting firm,Yes,3.0,70500.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,71000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,3.0,71000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,3.0,70000.0,,Public Accounting,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,59400.0,,Public Accounting,Low,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,66675.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,No,3.0,120000.0,,Public Accounting,Medium,Male,Tax,40.0
I am currently working at a Big 4 accounting firm,Yes,3.0,79000.0,,Public Accounting,Medium,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Yes,3.0,90000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,97000.0,,Public Accounting,High,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Yes,3.0,65000.0,,Public Accounting,Low,Male,Tax,48.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,70000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,3.0,42000.0,,Government,Low,Male,Advisory,40.0
I have never worked at a public accounting firm,No,3.0,42000.0,,Government,Low,Male,Advisory,40.0
I have never worked at a public accounting firm,No,3.0,95000.0,,Technology,High,Male,Other,35.0
I am currently working at a mid-tier or local accounting firm,No,3.0,93000.0,,Public Accounting,High,Male,Audit,55.0
I am currently working at a mid-tier or local accounting firm,No,3.0,46600.0,,Public Accounting,High,Female,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,3.0,65000.0,,Public Accounting,Medium,Male,Tax,40.0
I have never worked at a public accounting firm,No,3.0,52000.0,,Medical,Medium,Male,Other,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,76000.0,,Public Accounting,Medium,Male,Advisory,42.0
I am currently working at a mid-tier or local accounting firm,No,3.0,63100.0,,Public Accounting,Medium,Male,Tax,40.0
I have already exited from a mid-tier or local accounting firm,No,3.0,52000.0,2.0,Finance,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,64000.0,,Public Accounting,High,Male,Tax,60.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,71000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,72000.0,,Public Accounting,High,Male,Tax,60.0
I am currently working at a Big 4 accounting firm,No,3.0,61000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,3.5,64000.0,,Government,High,Female,Audit,
I have never worked at a public accounting firm,No,3.5,60000.0,,Medical,Medium,Female,Other,
I have already exited from a mid-tier or local accounting firm,Yes,3.5,77050.0,2.5,Other,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,No,3.0,110000.0,3.0,Technology,High,Male,Advisory,35.0
I am currently working at a mid-tier or local accounting firm,Yes,3.5,80000.0,,Public Accounting,High,Female,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,3.5,72500.0,,Public Accounting,Medium,Male,Tax,45.0
I have never worked at a public accounting firm,No,3.5,70000.0,,Other,Medium,Male,Other,35.0
I am currently working at a mid-tier or local accounting firm,Yes,3.67,66500.0,,Public Accounting,Low,Male,Tax,47.0
I have already exited from a mid-tier or local accounting firm,Yes,3.75,115000.0,2.5,Technology,High,Male,Audit,43.0
I am currently working at a Big 4 accounting firm,Yes,4.0,80000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,No,4.0,75000.0,,Other,High,Male,Corporate,
I am currently working at a Big 4 accounting firm,No,4.0,77500.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a mid-tier or local accounting firm,No,4.0,75000.0,1.0,Medical,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,4.0,69000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,4.0,60000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,4.0,84000.0,,Public Accounting,Medium,Male,Advisory,
I have never worked at a public accounting firm,Yes,4.0,80000.0,,Manufacturing,High,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,4.0,84000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,4.0,80000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,4.0,71000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,82000.0,,Public Accounting,High,Female,Advisory,
I have never worked at a public accounting firm,No,4.0,70000.0,,Hospitality,Medium,Female,Other,
I have never worked at a public accounting firm,No,4.0,80000.0,,Other,Medium,Male,Other,
I have never worked at a public accounting firm,No,4.0,80000.0,,Other,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,4.0,67000.0,,Public Accounting,Medium,Undisclosed,Tax,
I have already exited from a Big 4 Accounting firm,No,3.0,62500.0,0.5,Other,High,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,Yes,4.0,82000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,4.0,99000.0,3.0,Finance,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,4.0,90000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,4.0,78000.0,,Public Accounting,Low,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,4.0,69000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,4.0,110000.0,4.0,Technology,Medium,Undisclosed,Tax,
I have never worked at a public accounting firm,No,4.0,53000.0,,Government,High,Male,Other,
I have never worked at a public accounting firm,No,4.0,62000.0,,Hospitality,Medium,Female,Other,
I have already exited from a mid-tier or local accounting firm,Yes,4.0,77500.0,3.0,Government,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,4.0,154000.0,,Public Accounting,Low,Male,Tax,
I have never worked at a public accounting firm,Yes,4.0,100000.0,,Manufacturing,Low,Male,Other,
I have never worked at a public accounting firm,No,4.0,53000.0,,Other,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,4.0,90000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,4.0,78000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,75000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,4.0,70000.0,,Public Accounting,Low,Male,Tax,
I have already exited from a mid-tier or local accounting firm,No,4.0,55000.0,1.5,Other,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,No,4.0,85000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,90000.0,,Public Accounting,Medium,Male,Advisory,
I have never worked at a public accounting firm,No,4.0,55000.0,,Finance,High,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,3.0,77500.0,2.5,Technology,High,Female,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,79000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,91100.0,,Public Accounting,High,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,85000.0,,Public Accounting,High,Female,Audit,
I have already exited from a mid-tier or local accounting firm,No,4.0,90000.0,3.0,Technology,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,84000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,3.0,90000.0,1.5,Other,Medium,Female,Audit,45.0
I have never worked at a public accounting firm,No,4.0,65000.0,,Manufacturing,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,4.0,74000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,No,3.5,145000.0,3.5,Finance,High,Male,Advisory,40.0
I have already exited from a Big 4 Accounting firm,Yes,3.0,132000.0,2.0,Finance,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,84000.0,,Public Accounting,High,Undisclosed,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,107000.0,3.0,Technology,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,4.0,110000.0,,Public Accounting,High,Male,Advisory,45.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,110000.0,2.0,Other,High,Male,Advisory,
I have never worked at a public accounting firm,No,4.0,69500.0,,Technology,Medium,Female,Other,20.0
I have already exited from a mid-tier or local accounting firm,No,4.0,150000.0,2.0,Technology,High,Male,Advisory,50.0
I have already exited from a mid-tier or local accounting firm,No,4.0,90000.0,3.0,Finance,High,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,4.0,72000.0,2.0,Medical,Low,Male,Audit,40.0
I have already exited from a mid-tier or local accounting firm,Yes,4.0,75000.0,2.0,Other,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,4.0,78000.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,90500.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,4.0,80000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,84000.0,,Public Accounting,Medium,Male,Tax,40.0
I have already exited from a mid-tier or local accounting firm,No,4.0,62000.0,4.0,Other,Low,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,82000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,No,4.0,90000.0,,Public Accounting,Medium,Male,Advisory,55.0
I have already exited from a mid-tier or local accounting firm,Yes,4.0,80000.0,3.0,Other,Medium,Male,Tax,45.0
I have already exited from a mid-tier or local accounting firm,No,4.0,75000.0,3.0,Hospitality,Medium,Female,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,77000.0,,Public Accounting,Low,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,92000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,Yes,4.0,84690.0,,Public Accounting,High,Male,Advisory,47.5
I have already exited from a Big 4 Accounting firm,Yes,4.0,106000.0,3.0,Finance,High,Female,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,4.0,74500.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,4.0,74500.0,,Public Accounting,High,Male,Audit,40.0
