Timestamp,Firm exit status,Do you have your CPA license?,How many years of experience in accounting do you have? (If none please skip),What is your current salary + bonus in USD? (Example Format: 50000) (If none please skip),"If you have exited a public accounting firm, how many years did you work in public accounting before exiting? (Please skip if this doesn't apply to you)",What industry do you work in?,What COL is your region?,Where do you live?,Gender,What is your line of service? (Or was in the case of those who have exited),How many hours do you currently work per week on average? 
7/29/2020 22:24:35,I am currently working at a mid-tier or local accounting firm,Yes,2,56000,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 22:30:41,I am currently working at a mid-tier or local accounting firm,No,2,40000,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 22:37:01,I am currently working at a mid-tier or local accounting firm,No,2,82000,,Public Accounting,High,United States,Male,Tax,
7/29/2020 22:41:08,I have never worked at a public accounting firm,No,2,56000,,Government,Medium,United States,Female,Government,
7/29/2020 22:49:03,I am currently working at a mid-tier or local accounting firm,No,2,71200,,Public Accounting,High,United States,Male,Audit,
7/29/2020 22:59:55,I am currently working at a mid-tier or local accounting firm,No,2,48000,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 23:25:13,I am currently working at a Big 4 accounting firm,No,2,60000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 23:37:22,I am currently working at a Big 4 accounting firm,Yes,2,80000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 0:12:00,I am currently working at a mid-tier or local accounting firm,No,2,67500,,Public Accounting,High,United States,Male,Audit,
7/30/2020 0:22:01,I am currently working at a mid-tier or local accounting firm,Yes,2,102000,,Public Accounting,High,United States,Male,Tax,
7/30/2020 3:51:40,I am currently working at a Big 4 accounting firm,No,2,,,Public Accounting,High,United Kingdom,Male,Global mobility,
7/30/2020 4:07:25,I have never worked at a public accounting firm,No,2,52000,,Hospitality,High,United States,Male,Industry,
7/30/2020 6:31:46,I am currently working at a Big 4 accounting firm,No,2,24000,,Other,Low,EU,Male,Tax,
7/30/2020 7:33:25,I am currently working at a mid-tier or local accounting firm,Yes,2,60000,,Public Accounting,Medium,United States,Female,Audit,
7/30/2020 7:43:25,I am currently working at a mid-tier or local accounting firm,Yes,2,60000,,Public Accounting,Medium,United States,Male,Tax and Audit,
7/30/2020 7:44:44,I am currently working at a Big 4 accounting firm,Yes,2,73500,,Public Accounting,High,United States,Male,Audit,
7/30/2020 7:55:31,I have never worked at a public accounting firm,No,2,65000,,Government,Low,United States,Male,Audit,
7/30/2020 7:58:51,I am currently working at a Big 4 accounting firm,Yes,2,60000,,Public Accounting,Low,United States,Male,Audit,
7/30/2020 8:10:02,I have already exited from a Big 4 Accounting firm,No,2,60000,2,Other,Medium,Canada,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,
7/29/2020 10:25:59,I have already exited from a Big 4 Accounting firm,Yes,2,73000,2,Technology,Low,United States,Male,Audit,
7/30/2020 8:40:17,I am currently working at a mid-tier or local accounting firm,No,2,67500,,Public Accounting,High,United States,Female,Advisory - Other,
7/30/2020 8:49:04,I am currently working at a mid-tier or local accounting firm,No,2,88000,,Public Accounting,High,United States,Male,Advisory - Other,
7/30/2020 8:49:13,I am currently working at a Big 4 accounting firm,Yes,2,80000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 9:53:46,I have already exited from a Big 4 Accounting firm,No,2,88000,1.5,Finance,Medium,United States,Male,Advisory - Risk/IT Advisory,
7/29/2020 14:46:21,I have already exited from a Big 4 Accounting firm,Yes,2,80000,1.5,Other,Low,United States,Male,Audit,
7/30/2020 10:05:01,I am currently working at a Big 4 accounting firm,Yes,2,61000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 10:51:11,I am currently working at a mid-tier or local accounting firm,No,2,78000,,Public Accounting,High,United States,Male,Advisory - Risk/IT Advisory,
7/30/2020 12:01:04,I have never worked at a public accounting firm,No,2,59500,,Technology,High,United States,Male,,
7/30/2020 12:09:41,I have already exited from a mid-tier or local accounting firm,Yes,2,100000,2,Medical,Medium,United States,Male,Audit,
7/30/2020 12:22:27,I am currently working at a Big 4 accounting firm,No,2,69000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 12:58:44,I am currently working at a Big 4 accounting firm,No,2,67000,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,
7/30/2020 13:24:38,I am currently working at a Big 4 accounting firm,Yes,2,60000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 16:45:19,I am currently working at a mid-tier or local accounting firm,Yes,2,65500,,Public Accounting,High,United States,Male,Audit,60
7/30/2020 16:58:32,I am currently working at a mid-tier or local accounting firm,No,2,47000,,Public Accounting,Medium,United States,Male,Tax,45
7/30/2020 17:26:45,I am currently working at a Big 4 accounting firm,Yes,2,75900,,Public Accounting,High,United States,Male,Audit,60
7/30/2020 19:21:02,I am currently working at a Big 4 accounting firm,Yes,2,63000,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,46
7/30/2020 19:34:47,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,38000,,Public Accounting,High,Canada,Female,Audit,45
7/30/2020 20:12:13,I am still in school,No,2,56000,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,20
7/30/2020 20:51:32,I have never worked at a public accounting firm,No,2,38000,,Construction,,United States,Female,AP/AR,40
7/30/2020 23:43:10,I am currently working at a mid-tier or local accounting firm,Yes,2,67400,,Public Accounting,High,United States,Male,Audit,55
7/30/2020 23:53:11,I am currently working at a Big 4 accounting firm,Yes,2,60000,,Public Accounting,High,United States,Male,Audit,55
7/31/2020 0:20:48,I am currently working at a Big 4 accounting firm,No,2,62000,,Public Accounting,Medium,United States,Male,Tax,48
7/31/2020 2:48:12,I have never worked at a public accounting firm,No,2,8400,,Technology,High,United States,Female,Industry,60
7/31/2020 8:16:06,I am currently working at a Big 4 accounting firm,Yes,2,55000,,Public Accounting,Low,United States,Male,Audit,50
7/31/2020 11:36:42,I am currently working at a Big 4 accounting firm,Yes,2,58300,,Public Accounting,Low,United States,Female,Audit,45
7/31/2020 11:59:57,I am currently working at a mid-tier or local accounting firm,No,2,63500,,Manufacturing,Medium,United States,Female,Tax,45
7/31/2020 13:07:12,I am currently working at a mid-tier or local accounting firm,No,2,33000,,Natural Resource Extraction,,EU,Male,Audit,45
7/31/2020 14:26:25,I am currently working at a mid-tier or local accounting firm,Yes,2,78000,,Public Accounting,High,United States,Female,Tax,55
7/31/2020 17:24:37,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,72000,,Public Accounting,High,United States,Other,Audit,40
7/31/2020 21:23:09,I am currently working at a mid-tier or local accounting firm,Yes,2,56000,,Public Accounting,Medium,United States,Male,Audit,50
8/1/2020 0:31:39,I am currently working at a Big 4 accounting firm,No,2,73000,,Finance,High,United States,Female,Tax,60
8/1/2020 9:07:41,I am currently working at a Big 4 accounting firm,Yes,2,64500,,Public Accounting,High,United States,Male,Advisory - Risk/IT Advisory,50
8/1/2020 10:13:37,I am currently working at a Big 4 accounting firm,No,2,57200,,Public Accounting,Medium,United States,Male,Audit,45
8/1/2020 20:26:37,I am currently working at a mid-tier or local accounting firm,No,2,29079,,Public Accounting,High,Canada,Male,Audit,45
8/1/2020 20:31:18,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,58000,,Government,High,United States,Male,,40
8/2/2020 12:49:14,I am currently working at a mid-tier or local accounting firm,Yes,2,57000,,Government,Low,United States,Male,Audit,45
8/2/2020 23:48:00,I am currently working at a mid-tier or local accounting firm,Yes,2,60000,,Public Accounting,High,United States,Male,Audit,45
8/3/2020 0:45:15,I am currently working at a mid-tier or local accounting firm,No,2,70000,,Public Accounting,High,United States,Male,Tax,55
8/3/2020 20:19:39,I have never worked at a public accounting firm,No,2,56000,,Technology,Medium,United States,Female,Financial Reporting,50
7/30/2020 8:39:38,I have already exited from a Big 4 Accounting firm,Yes,2,93000,2,Public Accounting,Medium,United States,Male,Audit,
8/4/2020 9:54:55,I am currently working at a Big 4 accounting firm,Yes,2,70000,,Public Accounting,High,United States,Male,Advisory - Risk/IT Advisory,65
8/4/2020 11:18:17,I am currently working at a mid-tier or local accounting firm,No,2,65000,,Public Accounting,,United States,Female,Tax,45
8/4/2020 20:29:22,I am currently working at a Big 4 accounting firm,Yes,2,59400,,Public Accounting,Medium,United States,Male,Audit,45
8/4/2020 20:47:05,I am currently working at a mid-tier or local accounting firm,Yes,2,70000,,Public Accounting,Medium,United States,Male,Tax,45
8/4/2020 21:33:45,I am currently working at a Big 4 accounting firm,No,2,59000,,Public Accounting,Medium,United States,Male,Audit,50
8/4/2020 22:26:45,I am currently working at a mid-tier or local accounting firm,Yes,2,70600,,Public Accounting,High,United States,Male,Tax,45
8/4/2020 23:39:54,I am currently working at a Big 4 accounting firm,Yes,2,71000,,Technology,High,United States,Male,Advisory - Other,42
8/5/2020 13:22:21,I am currently working at a mid-tier or local accounting firm,No,2,55130,,Public Accounting,Medium,United States,Male,Audit,45
8/5/2020 18:06:46,I am currently working at a Big 4 accounting firm,Yes,2,62000,,Public Accounting,Medium,United States,Male,Audit,45
8/5/2020 19:49:49,I have already exited from a mid-tier or local accounting firm,Yes,2,83000,1,Finance,Medium,United States,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,45
8/6/2020 0:50:56,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,33000,,Technology,Medium,Canada,Male,Audit,50
8/6/2020 10:49:23,I am currently working at a mid-tier or local accounting firm,No,2,65000,,Public Accounting,Medium,United States,Male,Tax,45
8/6/2020 18:20:13,I have never worked at a public accounting firm,No,2,39000,,Finance,Low,United States,Male,,40
7/30/2020 9:55:23,I have already exited from a Big 4 Accounting firm,Yes,2,80000,2,Technology,High,United States,Male,Audit,
8/7/2020 23:08:27,I have never worked at a public accounting firm,No,2,45000,,Hospitality,Medium,United States,Male,Audit,40
8/7/2020 23:10:12,I have never worked at a public accounting firm,No,2,45000,,Hospitality,Medium,United States,Male,Audit,40
8/8/2020 7:17:32,I have never worked at a public accounting firm,No,2,69000,,Manufacturing,Medium,United States,Male,Revenue ,38
8/8/2020 21:13:59,I am currently working at a Big 4 accounting firm,Yes,2,58300,,Public Accounting,Low,United States,Male,Audit,45
8/9/2020 11:48:25,I have already exited from a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,74000,1,Finance,High,United States,Male,Audit,48
8/9/2020 12:52:49,I am currently working at a mid-tier or local accounting firm,No,2,62000,,Public Accounting,High,United States,Male,Tax,50
8/9/2020 13:46:21,I am currently working at a Big 4 accounting firm,No,2,32000,0,Public Accounting,Medium,Canada,Female,Audit,50
8/9/2020 16:22:42,I am currently working at a Big 4 accounting firm,Yes,2,58000,,Public Accounting,Medium,United States,Male,Audit,50
8/9/2020 17:15:40,I am currently working at a mid-tier or local accounting firm,No,2,60000,,Public Accounting,,United States,Male,Audit,40
8/9/2020 20:56:06,I am currently working at a mid-tier or local accounting firm,Yes,2,58000,,Public Accounting,Medium,United States,Male,Tax,45
8/10/2020 7:23:38,I am currently working at a Big 4 accounting firm,Yes,2,64500,,Public Accounting,High,United States,Male,Audit,65
8/10/2020 22:05:56,I am currently working at a mid-tier or local accounting firm,Yes,2,60900,,Public Accounting,Medium,United States,Male,Audit,40
8/10/2020 23:24:55,I am currently working at a mid-tier or local accounting firm,No,2,60000,,Public Accounting,Medium,United States,Male,Tax,45
8/11/2020 13:50:50,I am currently working at a Big 4 accounting firm,Yes,2,57000,,Public Accounting,High,United States,Male,Tax,40
8/11/2020 14:30:03,I am currently working at a mid-tier or local accounting firm,Yes,2,75000,,Public Accounting,High,United States,Male,Audit,50
8/11/2020 14:31:15,I am currently working at a mid-tier or local accounting firm,Yes,2,75000,,Public Accounting,High,United States,Male,Audit,50
8/11/2020 16:04:56,I am currently working at a Big 4 accounting firm,No,2,68000,,Public Accounting,High,United States,Male,Tax,70
8/11/2020 21:48:48,I have already exited from a mid-tier or local accounting firm,No,2,55000,0.4,Other,Medium,United States,Male,Audit,40
8/11/2020 23:22:12,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,46000,,Public Accounting,High,Canada,Male,Tax,42
8/12/2020 9:16:19,I am currently working at a mid-tier or local accounting firm,Yes,2,57000,,Public Accounting,Low,United States,Female,"Tax Jan-April, Audit July-Dec",40
8/12/2020 15:35:34,I have never worked at a public accounting firm,No,2,60000,,Other,High,United States,Female,Tax,40
7/28/2020 19:33:49,I am currently working at a mid-tier or local accounting firm,Yes,2.5,50800,,Public Accounting,Low,United States,Male,Audit,
7/29/2020 6:45:15,I have never worked at a public accounting firm,No,2.5,42000,,Other,Medium,United States,Female,,
7/29/2020 7:15:45,I am currently working at a mid-tier or local accounting firm,Yes,2.5,60000 CAD,,Other,Medium,Canada,Male,Advisory - Valuations,
7/29/2020 14:23:45,I have already exited from a Big 4 Accounting firm,Yes,2.5,74500,2,Aerospace,Medium,United States,Female,Tax,
7/29/2020 20:58:55,I am currently working at a Big 4 accounting firm,Yes,2.5,73500,,Public Accounting,High,United States,Male,Tax,
7/29/2020 21:33:26,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2.5,55000,,Technology,,United States,Male,,
7/29/2020 23:32:09,I have never worked at a public accounting firm,No,2.5,40000,,Other,Medium,Canada,Female,,
7/29/2020 23:47:19,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2.5,50000,,Public Accounting,High,Canada,Female,Tax,
7/30/2020 8:54:04,I am currently working at a mid-tier or local accounting firm,Yes,2.5,65000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 9:18:51,I am currently working at a mid-tier or local accounting firm,Yes,2.5,74000,,Public Accounting,Low,United States,Male,Tax,
7/30/2020 14:41:55,I am currently working at a mid-tier or local accounting firm,No,2.5,65000,,Public Accounting,High,United States,Female,Audit,40
7/30/2020 22:10:26,I am currently working at a mid-tier or local accounting firm,No,2.5,63000,,Public Accounting,High,United States,Male,Audit,50
8/3/2020 21:20:47,I have already exited from a Big 4 Accounting firm,Yes,2,53000,2,Other,Medium,United States,Female,Tax,40
8/1/2020 18:24:58,I am currently working at a mid-tier or local accounting firm,Yes,2.5,70000,,Public Accounting,Medium,United States,Male,Audit & Tax,37.5
8/1/2020 22:00:45,I am currently working at a mid-tier or local accounting firm,No,2.5,61000,,Public Accounting,Medium,United States,Female,Tax,50
8/3/2020 8:01:35,I am currently working at a mid-tier or local accounting firm,Yes,2.5,70000,,Construction,Low,United States,Male,Tax,45
8/3/2020 16:14:00,I am currently working at a Big 4 accounting firm,No,2.5,43000,,Government,Medium,Canada,Male,Advisory - Risk/IT Advisory,40
8/3/2020 22:56:29,I have already exited from a mid-tier or local accounting firm,No,2.5,100000,3,Finance,Medium,United States,Male,Audit,40
8/4/2020 10:08:11,I am currently working at a Big 4 accounting firm,No,2.5,47100,,Public Accounting,High,Canada,Female,Audit,60
8/4/2020 12:00:53,I am currently working at a mid-tier or local accounting firm,Yes,2.5,80000,,Public Accounting,High,United States,Male,Audit,46
8/5/2020 11:56:27,I am currently working at a Big 4 accounting firm,No,2.5,39000,,Other,Medium,Canada,Male,Audit,
8/6/2020 23:43:57,I am currently working at a mid-tier or local accounting firm,Yes,2.5,59000,,Public Accounting,High,United States,Male,Forensic,40
8/10/2020 12:12:49,I am currently working at a mid-tier or local accounting firm,Yes,2.5,60000,,Public Accounting,Low,United States,Male,Advisory - Other,50
8/1/2020 14:49:40,I am currently working at a Big 4 accounting firm,Yes,2.6,70000,,Public Accounting,Medium,United States,Male,Tax,50
7/29/2020 10:00:15,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2.9,"46,683",,Finance,High,EU,Male,Audit,
7/28/2020 19:59:04,I am currently working at a mid-tier or local accounting firm,No,3,46000,,Finance,Low,United States,Male,Audit,
8/6/2020 18:42:29,I have already exited from a Big 4 Accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,2,82000,0.25,Hospitality,High,United States,Female,Audit,35
7/28/2020 20:09:37,I am currently working at a Big 4 accounting firm,Yes,3,"66,600",,Public Accounting,Low,United States,Male,Audit,
7/28/2020 20:31:45,I am currently working at a mid-tier or local accounting firm,No,3,64000,,Public Accounting,High,United States,Male,audit and tax,
7/28/2020 20:59:46,I am currently working at a mid-tier or local accounting firm,Yes,3,67000,,Public Accounting,High,Australia/New Zealand,Male,Advisory - Risk/IT Advisory,
7/28/2020 21:04:08,I am currently working at a mid-tier or local accounting firm,Yes,3,"68,000",,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 21:06:43,I am currently working at a mid-tier or local accounting firm,Yes,3,"68,000",,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 21:14:42,I am currently working at a mid-tier or local accounting firm,Yes,3,80000,,Public Accounting,Low,United States,Male,Audit,
7/28/2020 21:30:15,I am currently working at a Big 4 accounting firm,Yes,3,72000,,Public Accounting,High,United States,Male,Audit,
7/28/2020 21:36:07,I have never worked at a public accounting firm,No,3,75000,,Other,High,United States,Male,,
7/28/2020 21:54:32,I have never worked at a public accounting firm,No,3,72000,,Medical,Medium,United States,Female,Industry,
7/28/2020 22:04:38,I have already exited from a Big 4 Accounting firm,Yes,3,"105,000",3,Finance,High,United States,Male,Tax,
7/28/2020 22:27:28,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,"70,000",,Public Accounting,High,Canada,Male,Audit,
7/28/2020 22:37:58,I am currently working at a mid-tier or local accounting firm,No,3,60000,,Public Accounting,Medium,Australia/New Zealand,Male,Tax,
7/28/2020 23:31:54,I am currently working at a mid-tier or local accounting firm,Yes,3,60000,,Government,Low,United States,Male,Audit,
7/29/2020 0:22:36,I have already exited from a mid-tier or local accounting firm,No,3,120000,2.5,Other,High,United States,Male,Audit,
7/29/2020 0:32:24,I am currently working at a Big 4 accounting firm,Yes,3,"58,275",,Public Accounting,Low,United States,Male,Tax,
7/29/2020 0:33:51,I am currently working at a mid-tier or local accounting firm,No,3,65000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 0:42:16,I am currently working at a mid-tier or local accounting firm,Yes,3,5000,,Public Accounting,High,Canada,Male,"Audit, tax, advisory",
7/29/2020 1:58:59,I am currently working at a mid-tier or local accounting firm,Yes,3,72000,,Public Accounting,High,United States,Male,Tax,
7/29/2020 4:25:01,I have never worked at a public accounting firm,No,3,45000,,Technology,Medium,United States,Male,,
7/29/2020 5:16:20,I am currently working at a Big 4 accounting firm,No,3,32000 USD,,Public Accounting,Low,EU,Male,Audit,
7/29/2020 6:31:06,I have never worked at a public accounting firm,No,3,65000,,Construction,Low,United States,Male,Finance,
7/29/2020 7:00:00,I have already exited from a Big 4 Accounting firm,Yes,3,"$85,000",2.5,Medical,Medium,United States,Male,Tax,
7/29/2020 7:22:29,I am currently working at a Big 4 accounting firm,Yes,3,79000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 7:24:45,I am currently working at a mid-tier or local accounting firm,No,3,78000,,Public Accounting,High,United States,Prefer not to say,Audit,
7/29/2020 7:31:33,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,67500,,Public Accounting,High,Canada,Male,Audit,
7/29/2020 9:15:14,I am currently working at a mid-tier or local accounting firm,Yes,3,63000,,Public Accounting,Medium,United States,Female,Tax,
7/29/2020 10:39:32,I am currently working at a mid-tier or local accounting firm,Yes,3,65000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 11:33:55,I am currently working at a mid-tier or local accounting firm,Yes,3,93450,,Finance,Medium,United States,Male,Advisory - Risk/IT Advisory,
7/29/2020 12:18:00,I have never worked at a public accounting firm,Yes,3,"90,000",,Other,High,United States,Male,,
7/29/2020 12:19:07,I am currently working at a Big 4 accounting firm,Yes,3,90000,,Public Accounting,High,United States,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,
7/29/2020 12:34:48,I am currently working at a mid-tier or local accounting firm,Yes,3,70500,,Public Accounting,High,United States,Male,Audit,
7/31/2020 13:09:51,I have already exited from a Big 4 Accounting firm,Yes,2.5,90000,2,Finance,High,United States,Male,Audit,40
7/29/2020 16:14:41,I am currently working at a Big 4 accounting firm,No,3,50000,3,Public Accounting,Medium,Canada,Male,Audit,
7/29/2020 21:16:58,I am currently working at a mid-tier or local accounting firm,Yes,3,64500,,Public Accounting,High,United States,Male,Audit,
7/29/2020 21:21:05,I am currently working at a mid-tier or local accounting firm,Yes,3,65000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 21:36:32,I am currently working at a mid-tier or local accounting firm,No,3,60000,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 21:37:16,I am currently working at a mid-tier or local accounting firm,Yes,3,72000,,Public Accounting,Medium,United States,Female,Audit,
7/29/2020 21:54:31,I am currently working at a mid-tier or local accounting firm,No,3,68000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 22:03:02,I am currently working at a Big 4 accounting firm,Yes,3,73500,,Public Accounting,Medium,United States,Female,Tax,
7/29/2020 22:40:03,I am currently working at a mid-tier or local accounting firm,No,3,60000,,Technology,Low,United States,Male,IT Audit,
7/29/2020 22:42:40,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,54000,,Public Accounting,Medium,Canada,Male,Audit,
7/29/2020 23:38:41,I am currently working at a Big 4 accounting firm,Yes,3,87000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 0:05:50,I am currently working at a Big 4 accounting firm,Yes,3,73000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 0:06:39,I am currently working at a Big 4 accounting firm,Yes,3,73000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 0:14:56,I am currently working at a mid-tier or local accounting firm,No,3,49500,,Public Accounting,Medium,United States,Male,Tax,
7/30/2020 1:38:19,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,53000,,Public Accounting,Low,United States,Male,Tax and Audit,
7/30/2020 3:55:57,I am currently working at a mid-tier or local accounting firm,Yes,3,44500,,Public Accounting,,Australia/New Zealand,Male,Audit,
7/30/2020 4:50:15,I am currently working at a Big 4 accounting firm,Yes,3,74000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 6:13:22,I have never worked at a public accounting firm,No,3,160000,,Finance,High,United States,Male,,
7/30/2020 7:36:59,I am currently working at a Big 4 accounting firm,No,3,30000,,Public Accounting,Medium,EU,Male,Audit,
7/30/2020 8:00:09,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,41670,,Energy,,EU,Male,Audit,
7/30/2020 8:07:19,I have already exited from a mid-tier or local accounting firm,Yes,3,85000,2,Technology,High,United States,Male,Audit,
7/30/2020 8:10:07,I have already exited from a mid-tier or local accounting firm,Yes,3,96000,3,Other,High,United States,Male,Advisory - Risk/IT Advisory,
7/30/2020 8:38:30,I have never worked at a public accounting firm,No,3,50000,,Manufacturing,Medium,United States,Male,,
7/30/2020 8:52:39,I have already exited from a mid-tier or local accounting firm,No,3,83750,1.5,Manufacturing,Low,United States,Female,Audit,
7/30/2020 9:00:38,I am currently working at a mid-tier or local accounting firm,Yes,3,58000,,Government,Medium,United States,Female,Regulatory,
7/30/2020 9:03:12,I have already exited from a mid-tier or local accounting firm,Yes,3,84000,2.5,Other,High,United States,Male,Audit,
7/30/2020 9:11:40,I am currently working at a mid-tier or local accounting firm,Yes,3,62300,,Public Accounting,Low,United States,Male,Tax,
7/30/2020 9:21:20,I have already exited from a mid-tier or local accounting firm,Yes,3,92400,2.5,Energy,Low,United States,Female,Audit,
7/30/2020 9:34:58,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,39230,,Public Accounting,Low,Canada,Male,Audit,
7/30/2020 10:12:55,I am currently working at a Big 4 accounting firm,Yes,3,74000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 10:59:54,I have already exited from a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,3,55127,0.5,Government,Medium,United States,Male,Audit,
7/30/2020 11:01:42,I am currently working at a mid-tier or local accounting firm,Yes,3,48500,3,Public Accounting,Medium,United States,Male,Tax,
7/30/2020 12:36:40,I am currently working at a mid-tier or local accounting firm,Yes,3,90000,,Public Accounting,Medium,United States,Male,Tax,
7/30/2020 13:43:17,I am currently working at a Big 4 accounting firm,Yes,3,73000,,Public Accounting,Low,United States,Male,Audit,
7/30/2020 13:54:10,I am currently working at a mid-tier or local accounting firm,No,3,74000,,Public Accounting,High,United States,Male,Audit,
7/30/2020 14:15:20,I have never worked at a public accounting firm,Yes,3,70000,,Government,Low,United States,Male,Tax,
7/30/2020 15:15:00,I am currently working at a mid-tier or local accounting firm,Yes,3,75000,,Public Accounting,Medium,United States,Female,Tax,
7/30/2020 19:58:54,I am currently working at a mid-tier or local accounting firm,Yes,3,63000,,Public Accounting,Medium,United States,Female,Tax,
7/30/2020 20:10:02,I am currently working at a Big 4 accounting firm,Yes,3,73000,,Public Accounting,Medium,United States,Male,Tax,50
7/30/2020 21:58:59,I have never worked at a public accounting firm,No,3,85000,,Medical,High,United States,Female,,35
7/30/2020 22:09:27,I am currently working at a Big 4 accounting firm,Yes,3,69750,,Public Accounting,Medium,United States,Male,Audit,45
7/30/2020 23:02:41,I am currently working at a mid-tier or local accounting firm,Yes,3,95000,,Public Accounting,High,United States,Female,Audit,45
7/30/2020 23:03:32,I am currently working at a mid-tier or local accounting firm,Yes,3,95000,,Public Accounting,High,United States,Female,Audit,45
8/22/2020 21:52:06,I have already exited from a Big 4 Accounting firm,No,2.5,110000,0,Technology,High,United States,Male,Audit,40
7/31/2020 2:58:43,I have never worked at a public accounting firm,No,3,64000,,Medical,High,United States,Female,Operations/Revenue ,60
7/31/2020 4:01:08,I am currently working at a mid-tier or local accounting firm,No,3,55000,,Public Accounting,Medium,United States,Female,Tax,50
7/31/2020 9:07:18,I have never worked at a public accounting firm,Yes,3,110000,,Finance,Medium,United States,Female,Internal Audit,45
7/31/2020 9:11:50,I have never worked at a public accounting firm,No,3,60000,,Other,Medium,United States,Male,Industry ,40
7/28/2020 20:00:47,I have already exited from a Big 4 Accounting firm,No,3,100000,3,Finance,Medium,United States,Male,Audit,
7/31/2020 14:08:56,I am currently working at a mid-tier or local accounting firm,Yes,3,90000,,Public Accounting,High,United States,Prefer not to say,Audit/Tax,37.5
7/31/2020 15:33:16,I am currently working at a Big 4 accounting firm,No,3,94000,3,Public Accounting,High,United States,Male,Tax,45
8/1/2020 12:07:19,I am still in school,No,3,,,Technology,Medium,Canada,Male,Advisory - Valuations,40
8/1/2020 15:24:16,I am currently working at a mid-tier or local accounting firm,Yes,3,95000,,Public Accounting,High,United States,Female,Audit,50
8/1/2020 20:10:33,I am currently working at a mid-tier or local accounting firm,No,3,76000,,Public Accounting,High,United States,Male,Tax,50
8/1/2020 20:37:56,I am currently working at a mid-tier or local accounting firm,Yes,3,66500,,Public Accounting,Medium,United States,Male,Audit,50
8/2/2020 0:15:12,I have never worked at a public accounting firm,No,3,74000,,Manufacturing,Medium,United States,Female,,40
8/2/2020 8:20:19,I am currently working at a Big 4 accounting firm,No,3,73000,,Public Accounting,High,United States,Female,Audit,50
8/2/2020 15:57:59,I have never worked at a public accounting firm,No,3,75000,,Medical,Medium,United States,Male,,60
8/2/2020 17:42:05,I am currently working at a mid-tier or local accounting firm,No,3,60000,2.5,Public Accounting,High,United States,Female,Tax,60
8/3/2020 6:52:54,I am currently working at a mid-tier or local accounting firm,Yes,3,80000,,Public Accounting,Medium,United States,Male,Advisory - Valuations,45
